Sat Mar 30 2019 13:28:01 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /kaakkuri 
Sat Mar 30 2019 13:28:01 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/kaakkuri' 	 /kaakkuri 
Sat Mar 30 2019 13:28:01 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /kaakkuri 
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/kaakkuri'
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /kaakkuri 
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/kaakkuri'
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /kaakkuri 
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/kaakkuri'
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /kaakkuri 
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/kaakkuri'
Sat Mar 30 2019 13:28:49 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:29:43 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /about.html 
Sat Mar 30 2019 13:29:43 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /main.css 
Sat Mar 30 2019 13:29:43 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/main.css'
Sat Mar 30 2019 13:29:43 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /main.js 
Sat Mar 30 2019 13:29:43 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/main.js'
Sat Mar 30 2019 13:29:47 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:29:47 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:33:08 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:33:08 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:33:14 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:33:14 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:33:41 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:33:41 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:35:36 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:35:36 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:35:44 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:35:44 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:36:08 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:36:08 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:36:10 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:36:10 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:36:21 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:36:21 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:37:08 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:37:08 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:37:18 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:37:18 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:37:44 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:37:44 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:38:00 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:38:01 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:38:15 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:38:15 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:38:31 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:38:31 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:38:40 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:38:40 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:38:57 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
